Iteration,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1,Time,Improved
3000,0.2295588254928589,0.9375,0.9364682539682538,0.9338761341968949,0.3341707362781597,0.897,0.897,0.8967761094764068,0:00:19,
3100,0.30683979392051697,0.9140625,0.9195833333333333,0.9107171246912429,0.3332705309119406,0.8977,0.8977,0.8983391282432065,0:00:20,
3200,0.35953691601753235,0.9140625,0.9167367561059512,0.91036977548474,0.3393061249693738,0.8981,0.8981,0.89815738197853,0:00:21,
3300,0.2696221172809601,0.9140625,0.9151215451215451,0.9128416545331245,0.3247597438247898,0.9006,0.9006000000000001,0.9008586178402205,0:00:21,*
3400,0.2724069356918335,0.9140625,0.9231803490627021,0.9180216189039718,0.3261846437861648,0.9006,0.9006000000000001,0.9006451232353575,0:00:22,
3500,0.16784070432186127,0.9453125,0.9420745920745921,0.9422010582010584,0.32703445003002507,0.9004,0.9004000000000001,0.9005166066177676,0:00:22,
3600,0.17052112519741058,0.953125,0.9578993228993229,0.9532832631303396,0.3353305079891712,0.8981,0.8981,0.8984601697966046,0:00:23,
3700,0.3301540017127991,0.8984375,0.8905294705294706,0.8930529245639602,0.33189199072650716,0.9001,0.9001000000000001,0.9002265547635316,0:00:24,
3800,0.335214227437973,0.875,0.883948273948274,0.8764574704195255,0.33151587127130244,0.8991,0.8991,0.8990675656933638,0:00:24,
3900,0.3472467362880707,0.875,0.8842638063690696,0.8800372111241674,0.34246085923683794,0.8957,0.8957,0.8963557554963015,0:00:25,
4000,0.2749573886394501,0.9375,0.9310042735042735,0.9323360079181582,0.33746653172788743,0.8989,0.8989,0.8996741138657149,0:00:25,
4100,0.3070322573184967,0.90625,0.9135576923076922,0.9015970638556846,0.32274400735203224,0.9027,0.9027000000000001,0.9027170682435388,0:00:26,*
4200,0.29656782746315,0.890625,0.8878452103452104,0.8865600368087894,0.32794761978372744,0.8993,0.8992999999999999,0.8993761210136956,0:00:27,
4300,0.250918984413147,0.9140625,0.9224329677890049,0.9128619709087042,0.32122527949417695,0.9005,0.9005000000000001,0.9011143151983367,0:00:27,*
4400,0.17537011206150055,0.9453125,0.943470695970696,0.9380895506045501,0.3178198812883111,0.9031,0.9030999999999999,0.9030887704718303,0:00:28,*
4500,0.3639965057373047,0.8984375,0.8786796536796537,0.8770559660645867,0.32439538685581354,0.9017,0.9017,0.9016584414214484,0:00:28,
4600,0.2913663387298584,0.8828125,0.883712814962815,0.8864128954483823,0.32170409133917166,0.9025,0.9025000000000001,0.9026560685280055,0:00:29,
4700,0.4029659628868103,0.8828125,0.8827164502164502,0.8799193789302485,0.31944900317282615,0.9027,0.9027000000000001,0.9029803875902305,0:00:30,
4800,0.20400774478912354,0.9375,0.9302146464646464,0.9274792663476875,0.3166405432209184,0.9035,0.9035,0.9035044912013651,0:00:30,*
4900,0.16031740605831146,0.9609375,0.9557289055973268,0.9592907029953309,0.32239961982527865,0.9071,0.9071,0.9071009699517061,0:00:31,
5000,0.2735469341278076,0.9296875,0.9223336385836387,0.9285324395062553,0.3299458892662314,0.9018,0.9018,0.9020493524042255,0:00:32,
5100,0.2510496973991394,0.9296875,0.9243814664867296,0.9240833333333333,0.3240548128945918,0.9024,0.9023999999999999,0.902411608485529,0:00:32,
5200,0.38790690898895264,0.890625,0.8888187835556256,0.8839443051364511,0.322825971849357,0.9035,0.9035,0.9031993548097066,0:00:33,
5300,0.15385788679122925,0.9453125,0.9496558588470352,0.9491267583179347,0.32332559250578097,0.9026,0.9026000000000002,0.9029298314910408,0:00:33,
5400,0.4328855276107788,0.890625,0.8739267268679033,0.8762657603121999,0.32749297969703434,0.9024,0.9023999999999999,0.9019767412558846,0:00:34,
5500,0.26355376839637756,0.921875,0.9300617030028795,0.9181442238897481,0.3232175373955618,0.9031,0.9031,0.903219151231259,0:00:34,
5600,0.11585965752601624,0.9765625,0.9773809523809524,0.9758275132795593,0.32412456390978417,0.9033,0.9033,0.9036861219265943,0:00:35,
5700,0.2627120316028595,0.9140625,0.9189542036910459,0.9178045157456923,0.32321722409393217,0.9022,0.9022,0.9022108164421935,0:00:36,
5800,0.11323898285627365,0.96875,0.9714520773344303,0.9704287082649152,0.33371509121188636,0.9015,0.9014999999999999,0.9020227361576924,0:00:36,
